time	I(C1)	I(C2)	I(L1)
4.074542984394797e+001	6.152104e-003	2.683744e-001	1.376633e+000
4.084542984394798e+001	-1.387001e-003	2.743926e-001	1.384159e+000
4.094542984394798e+001	-8.792238e-003	2.802854e-001	1.391592e+000
4.104542984394798e+001	-1.605747e-002	2.860464e-001	1.398926e+000
4.114542984394798e+001	-2.317672e-002	2.916699e-001	1.406155e+000
4.124542984394798e+001	-3.014421e-002	2.971499e-001	1.413270e+000
4.144542984394798e+001	-4.360162e-002	3.076570e-001	1.427138e+000
4.164542984394799e+001	-5.638707e-002	3.175247e-001	1.440479e+000
4.184542984394799e+001	-6.846099e-002	3.267132e-001	1.453247e+000
4.204542984394799e+001	-7.978708e-002	3.351857e-001	1.465397e+000
4.234542984394800e+001	-9.530280e-002	3.464800e-001	1.482375e+000
4.264542984394800e+001	-1.089657e-001	3.559913e-001	1.497742e+000
4.294542984394801e+001	-1.206968e-001	3.636395e-001	1.511389e+000
4.324542984394801e+001	-1.304357e-001	3.693629e-001	1.523224e+000
4.354542984394801e+001	-1.381403e-001	3.731183e-001	1.533169e+000
4.384542984394802e+001	-1.437873e-001	3.748815e-001	1.541168e+000
4.414542984394802e+001	-1.473719e-001	3.746464e-001	1.547181e+000
4.444542984394803e+001	-1.489076e-001	3.724256e-001	1.551188e+000
4.474542984394803e+001	-1.484256e-001	3.682491e-001	1.553187e+000
4.504542984394804e+001	-1.459746e-001	3.621647e-001	1.553191e+000
4.534542984394804e+001	-1.416198e-001	3.542366e-001	1.551236e+000
4.564542984394804e+001	-1.354421e-001	3.445447e-001	1.547369e+000
4.594542984394805e+001	-1.275372e-001	3.331836e-001	1.541658e+000
4.624542984394805e+001	-1.180143e-001	3.202617e-001	1.534183e+000
4.654542984394806e+001	-1.069953e-001	3.058998e-001	1.525041e+000
4.684542984394806e+001	-9.461297e-002	2.902299e-001	1.514340e+000
4.714542984394807e+001	-8.101013e-002	2.733938e-001	1.502202e+000
4.744542984394807e+001	-6.633784e-002	2.555416e-001	1.488759e+000
4.774542984394807e+001	-5.075404e-002	2.368306e-001	1.474152e+000
4.804542984394808e+001	-3.442207e-002	2.174230e-001	1.458531e+000
4.834542984394808e+001	-1.750906e-002	1.974853e-001	1.442051e+000
4.854542984394809e+001	-5.994534e-003	1.839821e-001	1.430667e+000
4.864542984394809e+001	-1.844242e-004	1.771859e-001	1.424874e+000
4.884542984394809e+001	1.150998e-002	1.635357e-001	1.413117e+000
4.898828698680524e+001	1.994545e-002	1.537166e-001	1.404556e+000
4.913114412966238e+001	2.834713e-002	1.439421e-001	1.395963e+000
4.927400127251953e+001	3.671502e-002	1.342122e-001	1.387338e+000
4.941685841537667e+001	4.504912e-002	1.245267e-001	1.378680e+000
4.955971555823381e+001	5.334943e-002	1.148857e-001	1.369989e+000
4.970257270109096e+001	6.161595e-002	1.052893e-001	1.361266e+000
4.984542984394810e+001	6.984867e-002	9.573738e-002	1.352511e+000
5.001685841537667e+001	7.961508e-002	8.440179e-002	1.342028e+000
5.018828698680525e+001	8.914988e-002	7.331234e-002	1.331689e+000
5.035971555823382e+001	9.845307e-002	6.246903e-002	1.321496e+000
5.053114412966240e+001	1.075246e-001	5.187186e-002	1.311448e+000
5.070257270109097e+001	1.163646e-001	4.152084e-002	1.301545e+000
5.087400127251955e+001	1.249730e-001	3.141595e-002	1.291787e+000
5.104542984394812e+001	1.333497e-001	2.155721e-002	1.282174e+000
5.114542984394812e+001	1.380535e-001	1.599519e-002	1.276716e+000
5.124542984394812e+001	1.426448e-001	1.055042e-002	1.271345e+000
5.134542984394813e+001	1.471194e-001	5.227107e-003	1.266066e+000
5.144542984394813e+001	1.514731e-001	2.932778e-005	1.260882e+000
5.154542984394813e+001	1.557021e-001	-5.038993e-003	1.255800e+000
5.164542984394813e+001	1.598025e-001	-9.974079e-003	1.250823e+000
5.174542984394813e+001	1.637706e-001	-1.477230e-002	1.245956e+000
5.184542984394813e+001	1.676031e-001	-1.943019e-002	1.241204e+000
5.194542984394813e+001	1.712964e-001	-2.394442e-002	1.236569e+000
5.204542984394814e+001	1.748475e-001	-2.831183e-002	1.232056e+000
5.224542984394814e+001	1.815108e-001	-3.659439e-002	1.223413e+000
5.244542984394814e+001	1.875710e-001	-4.425583e-002	1.215302e+000
5.264542984394814e+001	1.930084e-001	-5.127682e-002	1.207749e+000
5.284542984394815e+001	1.978062e-001	-5.764069e-002	1.200780e+000
5.304542984394815e+001	2.019503e-001	-6.333358e-002	1.194415e+000
5.324542984394815e+001	2.054294e-001	-6.834434e-002	1.188672e+000
5.354542984394816e+001	2.093833e-001	-7.456407e-002	1.181259e+000
5.384542984394816e+001	2.118055e-001	-7.921463e-002	1.175325e+000
5.414542984394817e+001	2.126931e-001	-8.229371e-002	1.170898e+000
5.444542984394817e+001	2.120569e-001	-8.381288e-002	1.167993e+000
5.474542984394817e+001	2.099215e-001	-8.379716e-002	1.166610e+000
5.504542984394818e+001	2.063243e-001	-8.228465e-002	1.166737e+000
5.534542984394818e+001	2.013155e-001	-7.932598e-002	1.168347e+000
5.564542984394819e+001	1.949568e-001	-7.498363e-002	1.171402e+000
5.594542984394819e+001	1.873213e-001	-6.933114e-002	1.175850e+000
5.624542984394820e+001	1.784923e-001	-6.245237e-002	1.181629e+000
5.654542984394820e+001	1.685625e-001	-5.444052e-002	1.188666e+000
5.684542984394820e+001	1.576329e-001	-4.539716e-002	1.196876e+000
5.714542984394821e+001	1.458118e-001	-3.543118e-002	1.206167e+000
5.734542984394821e+001	1.374922e-001	-2.833128e-002	1.212912e+000
5.754542984394821e+001	1.288626e-001	-2.090782e-002	1.220062e+000
5.774542984394822e+001	1.199590e-001	-1.319709e-002	1.227583e+000
5.784542984394822e+001	1.154160e-001	-9.245539e-003	1.231472e+000
5.794542984394822e+001	1.108183e-001	-5.236089e-003	1.235442e+000
5.804542984394822e+001	1.061707e-001	-1.173449e-003	1.239486e+000
5.814542984394822e+001	1.014779e-001	2.937645e-003	1.243603e+000
